"","id","Education","FamSES","Income","Age","Gender","Ethnicity","Kids_1","KidsHome_1","Fav","FavPpl","FavActivity","UStotal","UTtotal","UTrural","UTurban","UTdist","SBtotal","Orient","Route","SA","BFExtraverted","BFAgreeableness","BFConscient","BFEmoStabil","BFOpennness","SOIbehavior","SOIattitude","SOIdesire","SOItotal","ATOTpleasure","ATOTnopleasure","Q1","Q3","Q4","Q5","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q18","Q19","Q20","Q25","Q27","Q29","Q32","Q39","Q40","Q42","Q45","Q47","Q49","Q50","Q51","Q52","Q54","Q56","Q57","Q58","Q59","Q60","Q61","Q62","Q65","Q66","Q67","Q68","Q69","Q72","Q73","Map","WithinRtPt","BetweenRtPt","WithinRtPtAllo","BetweenRtPtAllo","WithinDist","BetweenDist","date","MRT","PSAS"
"1","Utah_101",3,5,1,23,"Male","Caucasian",0,0,"Park","Wife","Play pickleball",11,NA,NA,NA,NA,4.8,3.54545454545455,4,2,3.5,5.5,6.5,6,4.5,1.33333333333333,1.33333333333333,1.66666666666667,1.44444444444444,5.2,2.6,3,3,2,2,1,2,3,3,1,2,3,4,4,4,4,4,3,2,2,4,4,2,2,5,4,5,5,5,3,5,1,1,1,3,4,3,1,4,2,2,2,1,2,"390.687887026289","5.84556731395833","40.8121602535625","60.6389188828891","77.376903880646","70.9671237500424","100.864961641099","2017-06-05 13:06:25 -0700","46","5.5"
"2","Utah_102",3,5,2,21,"Female","Other",0,0,"Wherever family and friends are","family and friends","anything",17,NA,NA,NA,NA,3.26666666666667,2.09090909090909,4,2.125,2.5,4.5,7,4,5.5,1.33333333333333,2.33333333333333,1,1.55555555555556,3.6,2.2,4,4,6,1,1,2,3,2,1,3,5,3,5,3,4,1,4,2,3,3,5,2,3,2,2,4,2,2,4,2,4,1,1,2,5,4,3,1,1,3,1,1,1,"398.804437286154","35.0907118669167","59.455101759375","50.0550965071516","90.1556457393544","100.158245624433","100.700238754557","2017-06-12 11:04:25 -0700","8","3.1875"
"3","Utah_104",3,5,8,35,"Female","Caucasian",2,2,"home","family","relax",35,NA,NA,NA,NA,2.2,1.90909090909091,4.33333333333333,3,6,6,7,3,5,1.33333333333333,5,2,2.77777777777778,1.8,4.4,2,4,3,1,1,1,3,5,1,5,4,5,3,5,3,5,5,1,4,1,1,3,3,2,1,2,2,1,1,1,4,1,1,1,4,1,4,4,5,5,5,5,5,"302.864184976916","48.882361559","56.991347483125","77.7679553104029","81.6167827154753","203.981611296558","249.305896831244","2017-06-26 10:13:02 -0700","24","3.625"
"4","Utah_105",3,3,6,24,"Male","Caucasian",0,0,"Hiking","Sometimes with friends","Explore",14,NA,NA,NA,NA,5.4,3.81818181818182,3.66666666666667,1.625,3.5,5.5,5.5,6.5,6,1.66666666666667,6,3.33333333333333,3.66666666666667,5,2.4,7,4,5,2,1,2,3,2,1,2,5,4,5,4,5,4,4,1,2,4,5,5,5,4,5,4,5,5,5,4,2,1,2,4,4,2,2,1,2,2,4,1,4,"404.457533689417","38.7406158220833","57.787186126875","76.5861642051132","70.3770993743099","96.1955416330025","112.141528315655","2017-06-26 11:16:59 -0700","22","5.1875"
"5","Utah_107",3,5,6,23,"Female","Caucasian",0,0,"in the canyons","boyfriend/friends","relax",23,NA,NA,NA,NA,4.2,2.90909090909091,4.33333333333333,2.125,4.5,5,6.5,4,6,3.66666666666667,9,5.33333333333333,6,4.8,2.2,2,6,4,1,3,2,3,3,1,3,5,5,5,2,2,5,1,1,1,4,4,5,5,5,3,4,4,4,4,2,1,1,1,2,4,1,4,1,1,4,4,1,1,"394.002645963947","21.9023894687917","21.4197650217812","74.7486378032979","112.455331515913","126.916135235111","136.313936481417","2017-06-27 09:21:03 -0700","14","4.4375"
"6","Utah_108",2,4,1,18,"Female","Asian/Pacific-Islanders",0,0,"In the outdoors","My friends","Hiking and Dirt Biking",16,NA,NA,NA,NA,5.06666666666667,3.27272727272727,5,2.125,1.5,5,4.5,5,6.5,1,2.33333333333333,1.66666666666667,1.66666666666667,4.8,3.2,3,3,8,4,2,3,2,2,1,4,5,2,5,5,5,2,4,1,2,1,5,5,5,2,4,5,5,5,5,4,2,1,1,5,5,5,4,5,1,5,1,1,1,"311.028254699094","18.823184807125","25.9467405487812","81.0588241461313","73.1157102264816","75.4659643250746","59.9497886689216","2017-06-28 10:12:11 -0700","12","3.25"
"7","Utah_109",3,5,1,19,"Female","Caucasian",0,0,"wilderness","my friends","mountain bike, hike, camp, ski",14,NA,NA,NA,NA,3.33333333333333,2.09090909090909,3.66666666666667,2.375,3,3.5,6.5,4,7,5.66666666666667,5.33333333333333,3.66666666666667,4.88888888888889,4.4,1.4,3,4,5,2,1,3,3,3,1,4,5,3,5,2,5,1,2,2,3,3,4,5,5,2,3,2,2,4,3,4,3,1,1,5,5,5,4,2,1,1,4,5,1,"206.932995449571","32.3187691796667","60.765935208375","53.5355958149391","120.763325661785","82.5731741642345","158.151597001141","2017-06-28 10:58:47 -0700","30","4.5"
"8","Utah_110",5,6,4,28,"Male","Caucasian",0,0,"Maine ","family ","outdoor activities ",32,NA,NA,NA,NA,4.46666666666667,3.45454545454545,3.33333333333333,2.5,3.5,4,4.5,5,5.5,3.66666666666667,6,2.33333333333333,4,4,1.8,4,4,8,2,2,3,1,2,1,4,5,3,4,2,4,2,3,2,1,4,4,5,5,4,4,4,4,5,4,3,2,1,1,4,4,4,2,2,3,2,3,3,3,"107.02545716448","14.7557359275","17.6553646844688","73.7773198239203","79.2587305485266","71.6119045778255","93.27400031073","2017-07-05 11:12:10 -0700","22","5.4375"
"9","Utah_111",2,4,1,22,"Male","Asian/Pacific-Islanders",0,0,"barcelona","friends","just hangout with friends",7,NA,NA,NA,NA,2.53333333333333,2.45454545454545,2.33333333333333,3.5,4.5,4.5,7,4.5,5.5,1,3.66666666666667,1.33333333333333,2,4,4.2,4,3,2,1,2,1,1,5,1,4,2,4,3,3,2,3,4,4,4,1,4,2,4,2,2,1,3,1,4,1,2,1,5,3,3,3,3,5,3,1,5,1,1,"532.008378144521","32.1979296765","46.2451061971875","63.3202621446099","123.327658210733","120.44450748948","154.117404463539","2017-07-10 12:05:27 -0700","62","4.875"
"10","Utah_112",3,1,1,28,"Male","Caucasian",0,0,"home","friends","play video games and relax",2,NA,NA,NA,NA,4.73333333333333,4,4.16666666666667,1.625,1,5,7,5.5,3.5,1.33333333333333,2.33333333333333,1.66666666666667,1.77777777777778,4.6,3,2,2,2,2,1,2,5,4,1,4,3,5,3,3,3,4,4,1,4,1,3,2,2,5,3,2,5,5,2,2,2,3,4,2,5,2,1,5,2,5,5,1,3,"487.66943083927","13.6263606005833","67.7644960147812","67.6188462648527","95.689869478728","103.211197471295","269.675374608119","2017-07-10 13:11:06 -0700","40","3.5625"
